Date,Product Name,Category,Units Sold,Price,Revenue,Discount,Units Returned,Location,Platform,protein,weight loss,carbs,diet,gym,ozempic
2021-08-09,Collagen Peptides,Protein,157,30.74,4826.18,0.19,0,Canada,Walmart,,,,,,
2021-08-16,Whey Protein,Protein,173,31.95,5527.35,0.01,4,UK,Walmart,,,,,,
2021-08-16,Collagen Peptides,Protein,141,59.02,8321.82,0.12,0,UK,Walmart,,,,,,
2021-08-23,Whey Protein,Protein,146,18.57,2711.22,0.17,2,UK,Walmart,,,,,,
2021-08-23,Collagen Peptides,Protein,133,23.75,3158.75,0.02,1,Canada,Amazon,,,,,,
2021-08-30,Whey Protein,Protein,142,14.19,2014.98,0.01,1,USA,Walmart,,,,,,
2021-08-30,Collagen Peptides,Protein,119,38.78,4614.82,0.24,2,Canada,Walmart,,,,,,
2021-09-06,Whey Protein,Protein,150,24.45,3667.5,0.02,4,Canada,iHerb,27,16,12,34,30,1
2021-09-06,Collagen Peptides,Protein,147,58.08,8537.76,0.13,2,Canada,Amazon,,,,,,
2021-09-13,Whey Protein,Protein,133,45.1,5998.3,0.18,2,Canada,iHerb,,,,,,
2021-09-13,Collagen Peptides,Protein,146,33.8,4934.8,0.03,3,Canada,Amazon,,,,,,
2021-09-20,Whey Protein,Protein,135,25.49,3441.15,0.13,2,UK,iHerb,,,,,,
2021-09-20,Collagen Peptides,Protein,141,45.42,6404.22,0.09,1,Canada,iHerb,,,,,,
2021-09-27,Whey Protein,Protein,166,13.91,2309.06,0.2,3,Canada,Amazon,,,,,,
2021-09-27,Collagen Peptides,Protein,146,10.46,1527.16,0.12,1,Canada,iHerb,,,,,,
2021-10-04,Whey Protein,Protein,158,10.05,1587.9,0.18,0,USA,iHerb,26,15,11,33,27,1
2021-10-04,Collagen Peptides,Protein,142,15.61,2216.62,0.07,2,USA,Amazon,,,,,,
2021-10-11,Whey Protein,Protein,143,56.96,8145.28,0.17,0,Canada,Amazon,,,,,,
2021-10-11,Collagen Peptides,Protein,157,28.96,4546.72,0.09,2,UK,Walmart,,,,,,
2021-10-18,Whey Protein,Protein,137,42.68,5847.16,0.19,2,USA,Walmart,,,,,,
2021-10-18,Collagen Peptides,Protein,161,39.49,6357.89,0.05,1,USA,Amazon,,,,,,
2021-10-25,Whey Protein,Protein,146,58.36,8520.56,0.11,1,USA,Walmart,,,,,,
2021-10-25,Collagen Peptides,Protein,137,16.92,2318.04,0.19,1,USA,Amazon,,,,,,
2021-11-01,Whey Protein,Protein,160,18.78,3004.8,0.11,3,USA,Walmart,24,15,10,31,31,1
2021-11-01,Collagen Peptides,Protein,133,22.59,3004.47,0.19,4,Canada,Walmart,,,,,,
2021-11-08,Whey Protein,Protein,124,53.15,6590.6,0.12,0,USA,Walmart,,,,,,
2021-11-08,Collagen Peptides,Protein,159,45.89,7296.51,0.17,3,Canada,iHerb,,,,,,
2021-11-15,Whey Protein,Protein,174,10.61,1846.14,0.17,1,UK,Walmart,,,,,,
2021-11-15,Collagen Peptides,Protein,166,26.24,4355.84,0.07,0,UK,Amazon,,,,,,
2021-11-22,Whey Protein,Protein,156,54.68,8530.08,0.07,2,Canada,iHerb,,,,,,
2021-11-22,Collagen Peptides,Protein,153,42.79,6546.87,0.12,0,USA,Walmart,,,,,,
2021-11-29,Whey Protein,Protein,128,34.65,4435.2,0.21,1,USA,iHerb,,,,,,
2021-11-29,Collagen Peptides,Protein,147,34.91,5131.77,0.11,1,UK,iHerb,,,,,,
2021-12-06,Whey Protein,Protein,161,11.42,1838.62,0.16,4,Canada,Amazon,21,14,9,30,31,1
2021-12-06,Collagen Peptides,Protein,157,12.02,1887.14,0.1,4,UK,Amazon,,,,,,
2021-12-13,Whey Protein,Protein,149,53.71,8002.79,0.09,0,Canada,Amazon,,,,,,
2021-12-13,Collagen Peptides,Protein,134,17.1,2291.4,0.18,3,UK,Walmart,,,,,,
2021-12-20,Whey Protein,Protein,167,42.32,7067.44,0.14,0,Canada,Walmart,,,,,,
2021-12-20,Collagen Peptides,Protein,136,42.09,5724.24,0.12,3,USA,Walmart,,,,,,
2021-12-27,Whey Protein,Protein,158,24.73,3907.34,0.01,1,UK,iHerb,,,,,,
2021-12-27,Collagen Peptides,Protein,159,36.71,5836.89,0.17,3,UK,iHerb,,,,,,
2022-01-03,Whey Protein,Protein,130,12.33,1602.9,0.18,2,Canada,iHerb,34,19,15,42,35,2
2022-01-03,Collagen Peptides,Protein,156,30.19,4709.64,0.05,2,Canada,Walmart,,,,,,
2022-01-10,Whey Protein,Protein,149,20.72,3087.28,0.02,3,Canada,Amazon,,,,,,
2022-01-10,Collagen Peptides,Protein,148,49.93,7389.64,0.06,2,UK,Amazon,,,,,,
2022-01-17,Whey Protein,Protein,145,47.83,6935.35,0.15,1,USA,Amazon,,,,,,
2022-01-17,Collagen Peptides,Protein,149,31.68,4720.32,0.05,0,USA,Walmart,,,,,,
2022-01-24,Whey Protein,Protein,168,20.08,3373.44,0.11,1,Canada,Amazon,,,,,,
2022-01-24,Collagen Peptides,Protein,162,57.48,9311.76,0.08,0,Canada,iHerb,,,,,,
2022-01-31,Whey Protein,Protein,150,49.49,7423.5,0.16,2,Canada,Walmart,,,,,,
2022-01-31,Collagen Peptides,Protein,137,21.17,2900.29,0.02,3,UK,iHerb,,,,,,
2022-02-07,Whey Protein,Protein,156,52.46,8183.76,0.12,3,UK,Amazon,36,18,16,41,33,2
2022-02-07,Collagen Peptides,Protein,141,30.79,4341.39,0.18,2,USA,Walmart,,,,,,
2022-02-14,Whey Protein,Protein,145,25.01,3626.45,0.13,1,Canada,Walmart,,,,,,
2022-02-14,Collagen Peptides,Protein,152,56.41,8574.32,0.13,2,UK,iHerb,,,,,,
2022-02-21,Whey Protein,Protein,175,43.14,7549.5,0.17,1,USA,iHerb,,,,,,
2022-02-21,Collagen Peptides,Protein,154,55.08,8482.32,0.23,2,UK,Walmart,,,,,,
2022-02-28,Whey Protein,Protein,137,33.72,4619.64,0.09,1,Canada,Amazon,,,,,,
2022-02-28,Collagen Peptides,Protein,167,57.36,9579.12,0.09,1,USA,Amazon,,,,,,
2022-03-07,Whey Protein,Protein,148,51.85,7673.8,0.01,3,UK,Amazon,40,19,16,42,34,2
2022-03-07,Collagen Peptides,Protein,144,56.65,8157.6,0.06,2,UK,iHerb,,,,,,
2022-03-14,Whey Protein,Protein,128,30.8,3942.4,0.08,3,Canada,iHerb,,,,,,
2022-03-14,Collagen Peptides,Protein,147,55.25,8121.75,0.22,1,USA,Amazon,,,,,,
2022-03-21,Whey Protein,Protein,143,43.81,6264.83,0.09,1,UK,iHerb,,,,,,
2022-03-21,Collagen Peptides,Protein,162,32.53,5269.86,0.11,1,Canada,Amazon,,,,,,
2022-03-28,Whey Protein,Protein,168,41.98,7052.64,0.17,1,UK,iHerb,,,,,,
2022-03-28,Collagen Peptides,Protein,160,27.14,4342.4,0.1,4,USA,Walmart,,,,,,
2022-04-04,Whey Protein,Protein,157,26.84,4213.88,0.04,1,UK,Walmart,35,19,15,39,30,2
2022-04-04,Collagen Peptides,Protein,138,13.8,1904.4,0.17,1,Canada,Amazon,,,,,,
2022-04-11,Whey Protein,Protein,146,50.51,7374.46,0.21,3,USA,Amazon,,,,,,
2022-04-11,Collagen Peptides,Protein,134,18.86,2527.24,0.09,1,UK,Amazon,,,,,,
2022-04-18,Whey Protein,Protein,169,25.71,4344.99,0.24,1,USA,Amazon,,,,,,
2022-04-18,Collagen Peptides,Protein,156,16.2,2527.2,0.12,1,Canada,iHerb,,,,,,
2022-04-25,Whey Protein,Protein,130,21.98,2857.4,0.21,3,Canada,Amazon,,,,,,
2022-04-25,Collagen Peptides,Protein,131,58,7598,0.01,4,Canada,Amazon,,,,,,
2022-05-02,Whey Protein,Protein,166,21.91,3637.06,0.21,2,UK,iHerb,34,18,14,38,30,3
2022-05-02,Collagen Peptides,Protein,147,19.47,2862.09,0.14,0,Canada,Amazon,,,,,,
2022-05-09,Whey Protein,Protein,149,49.45,7368.05,0.19,1,Canada,Walmart,,,,,,
2022-05-09,Collagen Peptides,Protein,146,28.84,4210.64,0.16,1,UK,Walmart,,,,,,
2022-05-16,Whey Protein,Protein,143,16.52,2362.36,0.19,0,UK,Walmart,,,,,,
2022-05-16,Collagen Peptides,Protein,156,48.81,7614.36,0.13,3,Canada,iHerb,,,,,,
2022-05-23,Whey Protein,Protein,141,34.55,4871.55,0.15,0,Canada,iHerb,,,,,,
2022-05-23,Collagen Peptides,Protein,161,42.99,6921.39,0.08,1,Canada,iHerb,,,,,,
2022-05-30,Whey Protein,Protein,151,25.65,3873.15,0.14,1,UK,Amazon,,,,,,
2022-05-30,Collagen Peptides,Protein,135,43.95,5933.25,0.21,1,USA,iHerb,,,,,,
2022-06-06,Whey Protein,Protein,142,20.88,2964.96,0.03,1,USA,iHerb,30,19,14,39,33,3
2022-06-06,Collagen Peptides,Protein,138,26.07,3597.66,0.25,0,USA,Walmart,,,,,,
2022-06-13,Whey Protein,Protein,155,34.32,5319.6,0.03,1,Canada,iHerb,,,,,,
2022-06-13,Collagen Peptides,Protein,177,54.07,9570.39,0.16,1,USA,Walmart,,,,,,
2022-06-20,Whey Protein,Protein,150,13.21,1981.5,0.13,2,Canada,Amazon,,,,,,
2022-06-20,Collagen Peptides,Protein,128,39.14,5009.92,0.01,1,UK,Walmart,,,,,,
2022-06-27,Whey Protein,Protein,136,43.09,5860.24,0.14,0,USA,iHerb,,,,,,
2022-06-27,Collagen Peptides,Protein,137,42.83,5867.71,0.21,1,UK,iHerb,,,,,,
2022-07-04,Whey Protein,Protein,147,51.19,7524.93,0.12,2,USA,Amazon,32,18,14,39,34,3
2022-07-04,Collagen Peptides,Protein,138,52.7,7272.6,0.14,1,UK,Amazon,,,,,,
2022-07-11,Whey Protein,Protein,160,37.65,6024,0.12,0,Canada,Walmart,,,,,,
2022-07-11,Collagen Peptides,Protein,166,31.32,5199.12,0.23,1,UK,Walmart,,,,,,
2022-07-18,Whey Protein,Protein,163,13.04,2125.52,0.06,1,Canada,Walmart,,,,,,
2022-07-18,Collagen Peptides,Protein,136,38.28,5206.08,0.16,2,UK,iHerb,,,,,,
2022-07-25,Whey Protein,Protein,142,51.04,7247.68,0.07,2,UK,Amazon,,,,,,
2022-07-25,Collagen Peptides,Protein,144,20.24,2914.56,0.08,0,UK,Amazon,,,,,,
2022-08-01,Whey Protein,Protein,167,57.65,9627.55,0.07,1,UK,Amazon,34,18,14,36,33,4
2022-08-01,Collagen Peptides,Protein,142,14.66,2081.72,0.01,0,Canada,Amazon,,,,,,
2022-08-08,Whey Protein,Protein,148,30.59,4527.32,0.18,0,USA,iHerb,,,,,,
2022-08-08,Collagen Peptides,Protein,153,11.07,1693.71,0.18,4,Canada,Walmart,,,,,,
2022-08-15,Whey Protein,Protein,154,37.05,5705.7,0.23,4,Canada,Walmart,,,,,,
2022-08-15,Collagen Peptides,Protein,152,37,5624,0.05,1,USA,Amazon,,,,,,
2022-08-22,Whey Protein,Protein,154,13.19,2031.26,0.08,1,USA,iHerb,,,,,,
2022-08-22,Collagen Peptides,Protein,141,15.4,2171.4,0.23,1,Canada,Walmart,,,,,,
2022-08-29,Whey Protein,Protein,141,33.56,4731.96,0.01,0,USA,iHerb,,,,,,
2022-08-29,Collagen Peptides,Protein,159,12.32,1958.88,0.14,1,UK,Walmart,,,,,,
2022-09-05,Whey Protein,Protein,162,19.45,3150.9,0.19,0,UK,iHerb,34,17,12,33,30,3
2022-09-05,Collagen Peptides,Protein,148,37.75,5587,0.06,0,UK,Amazon,,,,,,
2022-09-12,Whey Protein,Protein,159,40.64,6461.76,0.17,1,USA,Walmart,,,,,,
2022-09-12,Collagen Peptides,Protein,175,52.18,9131.5,0.13,3,UK,Walmart,,,,,,
2022-09-19,Whey Protein,Protein,149,21.08,3140.92,0.05,4,Canada,Walmart,,,,,,
2022-09-19,Collagen Peptides,Protein,161,14.33,2307.13,0.15,2,USA,Walmart,,,,,,
2022-09-26,Whey Protein,Protein,142,50.29,7141.18,0,1,Canada,iHerb,,,,,,
2022-09-26,Collagen Peptides,Protein,135,59.25,7998.75,0.02,1,UK,iHerb,,,,,,
2022-10-03,Whey Protein,Protein,160,24.61,3937.6,0.23,2,UK,Amazon,32,17,12,32,30,5
2022-10-03,Collagen Peptides,Protein,145,13.51,1958.95,0.25,2,UK,Walmart,,,,,,
2022-10-10,Whey Protein,Protein,133,22.93,3049.69,0.07,4,Canada,iHerb,,,,,,
2022-10-10,Collagen Peptides,Protein,153,42.87,6559.11,0,0,Canada,Walmart,,,,,,
2022-10-17,Whey Protein,Protein,162,37.28,6039.36,0.04,1,USA,Walmart,,,,,,
2022-10-17,Collagen Peptides,Protein,163,19.35,3154.05,0.14,1,USA,Walmart,,,,,,
2022-10-24,Whey Protein,Protein,147,47.83,7031.01,0.21,3,USA,Amazon,,,,,,
2022-10-24,Collagen Peptides,Protein,131,17.68,2316.08,0.19,2,UK,Amazon,,,,,,
2022-10-31,Whey Protein,Protein,165,47.93,7908.45,0.02,0,Canada,Amazon,,,,,,
2022-10-31,Collagen Peptides,Protein,148,13.49,1996.52,0.21,2,USA,Walmart,,,,,,
2022-11-07,Whey Protein,Protein,147,24.84,3651.48,0.04,0,Canada,iHerb,29,15,10,31,34,6
2022-11-07,Collagen Peptides,Protein,164,25.23,4137.72,0.01,4,UK,iHerb,,,,,,
2022-11-14,Whey Protein,Protein,187,57.55,10761.85,0.13,2,USA,Amazon,,,,,,
2022-11-14,Collagen Peptides,Protein,140,59.27,8297.8,0.09,1,USA,Amazon,,,,,,
2022-11-21,Whey Protein,Protein,167,56.62,9455.54,0.16,4,USA,Walmart,,,,,,
2022-11-21,Collagen Peptides,Protein,152,25.39,3859.28,0.03,2,Canada,Walmart,,,,,,
2022-11-28,Whey Protein,Protein,153,46.69,7143.57,0.25,3,Canada,Amazon,,,,,,
2022-11-28,Collagen Peptides,Protein,167,19.54,3263.18,0.17,2,USA,Amazon,,,,,,
2022-12-05,Whey Protein,Protein,150,15.43,2314.5,0.2,0,USA,Amazon,28,17,10,31,35,6
2022-12-05,Collagen Peptides,Protein,152,36.68,5575.36,0.03,3,UK,iHerb,,,,,,
2022-12-12,Whey Protein,Protein,151,31.99,4830.49,0.19,1,UK,Walmart,,,,,,
2022-12-12,Collagen Peptides,Protein,147,58.27,8565.69,0.2,4,UK,Walmart,,,,,,
2022-12-19,Whey Protein,Protein,139,21.52,2991.28,0.14,2,Canada,Walmart,,,,,,
2022-12-19,Collagen Peptides,Protein,153,30.99,4741.47,0.22,1,UK,Amazon,,,,,,
2022-12-26,Whey Protein,Protein,150,56.79,8518.5,0.11,0,USA,Walmart,,,,,,
2022-12-26,Collagen Peptides,Protein,148,30.57,4524.36,0.15,7,Canada,iHerb,,,,,,
2023-01-02,Whey Protein,Protein,150,13.38,2007,0.04,5,UK,Walmart,39,25,15,41,40,9
2023-01-02,Collagen Peptides,Protein,145,53.52,7760.4,0.19,0,UK,Amazon,,,,,,
2023-01-09,Whey Protein,Protein,139,32.85,4566.15,0.1,1,USA,Amazon,,,,,,
2023-01-09,Collagen Peptides,Protein,170,48.54,8251.8,0.03,0,USA,Walmart,,,,,,
2023-01-16,Whey Protein,Protein,178,26.34,4688.52,0.07,2,USA,Walmart,,,,,,
2023-01-16,Collagen Peptides,Protein,140,53.29,7460.6,0.23,5,UK,iHerb,,,,,,
2023-01-23,Whey Protein,Protein,153,41.83,6399.99,0.07,0,USA,iHerb,,,,,,
2023-01-23,Collagen Peptides,Protein,140,42.69,5976.6,0.02,2,UK,Walmart,,,,,,
2023-01-30,Whey Protein,Protein,158,29.75,4700.5,0.14,1,UK,Amazon,,,,,,
2023-01-30,Collagen Peptides,Protein,140,33.33,4666.2,0.22,0,USA,Amazon,,,,,,
2023-02-06,Whey Protein,Protein,154,53.22,8195.88,0.07,2,UK,iHerb,41,23,15,37,37,11
2023-02-06,Collagen Peptides,Protein,159,12.74,2025.66,0.19,2,USA,Amazon,,,,,,
2023-02-13,Whey Protein,Protein,168,33.26,5587.68,0.02,0,Canada,Amazon,,,,,,
2023-02-13,Collagen Peptides,Protein,144,55.94,8055.36,0.22,3,UK,Walmart,,,,,,
2023-02-20,Whey Protein,Protein,134,47.35,6344.9,0.05,1,UK,iHerb,,,,,,
2023-02-20,Collagen Peptides,Protein,168,22.45,3771.6,0.23,3,Canada,Amazon,,,,,,
2023-02-27,Whey Protein,Protein,160,56.5,9040,0.03,1,USA,Walmart,,,,,,
2023-02-27,Collagen Peptides,Protein,160,56.13,8980.8,0.09,1,USA,iHerb,,,,,,
2023-03-06,Whey Protein,Protein,145,21.32,3091.4,0.22,4,UK,iHerb,41,23,14,40,35,12
2023-03-06,Collagen Peptides,Protein,133,40.41,5374.53,0.18,1,UK,iHerb,,,,,,
2023-03-13,Whey Protein,Protein,137,17.9,2452.3,0.23,0,USA,Amazon,,,,,,
2023-03-13,Collagen Peptides,Protein,142,44.01,6249.42,0.22,0,Canada,Walmart,,,,,,
2023-03-20,Whey Protein,Protein,145,22.61,3278.45,0.22,1,Canada,Amazon,,,,,,
2023-03-20,Collagen Peptides,Protein,137,42.87,5873.19,0.22,3,Canada,Walmart,,,,,,
2023-03-27,Whey Protein,Protein,157,22.67,3559.19,0.22,1,UK,Walmart,,,,,,
2023-03-27,Collagen Peptides,Protein,131,23.39,3064.09,0.14,4,USA,Walmart,,,,,,
2023-04-03,Whey Protein,Protein,174,24.85,4323.9,0.06,3,Canada,Walmart,40,23,14,38,33,12
2023-04-03,Collagen Peptides,Protein,154,31.06,4783.24,0.21,1,USA,Amazon,,,,,,
2023-04-10,Whey Protein,Protein,150,26.3,3945,0.16,0,Canada,Walmart,,,,,,
2023-04-10,Collagen Peptides,Protein,148,56.17,8313.16,0.15,0,USA,iHerb,,,,,,
2023-04-17,Whey Protein,Protein,146,41.72,6091.12,0.15,1,UK,Amazon,,,,,,
2023-04-17,Collagen Peptides,Protein,145,38.12,5527.4,0.03,0,USA,Amazon,,,,,,
2023-04-24,Whey Protein,Protein,144,22.57,3250.08,0.08,2,USA,Walmart,,,,,,
2023-04-24,Collagen Peptides,Protein,142,50.3,7142.6,0.06,1,Canada,Amazon,,,,,,
2023-05-01,Whey Protein,Protein,142,50.78,7210.76,0.04,0,USA,iHerb,39,22,13,35,34,15
2023-05-01,Collagen Peptides,Protein,166,34.04,5650.64,0.23,2,USA,Amazon,,,,,,
2023-05-08,Whey Protein,Protein,159,55.15,8768.85,0.23,1,UK,Amazon,,,,,,
2023-05-08,Collagen Peptides,Protein,138,27.31,3768.78,0.13,0,Canada,Walmart,,,,,,
2023-05-15,Whey Protein,Protein,146,53.57,7821.22,0.13,1,Canada,Walmart,,,,,,
2023-05-15,Collagen Peptides,Protein,165,17.44,2877.6,0.14,2,UK,Amazon,,,,,,
2023-05-22,Whey Protein,Protein,164,49.73,8155.72,0.05,3,USA,Walmart,,,,,,
2023-05-22,Collagen Peptides,Protein,145,53.91,7816.95,0.24,2,USA,Walmart,,,,,,
2023-05-29,Whey Protein,Protein,158,39.62,6259.96,0.17,0,USA,iHerb,,,,,,
2023-05-29,Collagen Peptides,Protein,139,35.2,4892.8,0.2,2,USA,Amazon,,,,,,
2023-06-05,Whey Protein,Protein,156,46.72,7288.32,0.18,1,Canada,Amazon,39,22,13,37,34,16
2023-06-05,Collagen Peptides,Protein,154,47,7238,0.17,3,Canada,Walmart,,,,,,
2023-06-12,Whey Protein,Protein,167,54.69,9133.23,0.22,1,UK,Walmart,,,,,,
2023-06-12,Collagen Peptides,Protein,129,38.54,4971.66,0.23,1,UK,Walmart,,,,,,
2023-06-19,Whey Protein,Protein,152,49.72,7557.44,0.06,1,USA,Amazon,,,,,,
2023-06-19,Collagen Peptides,Protein,135,30.5,4117.5,0.2,2,Canada,Walmart,,,,,,
2023-06-26,Whey Protein,Protein,163,31.37,5113.31,0.06,0,Canada,iHerb,,,,,,
2023-06-26,Collagen Peptides,Protein,159,41.1,6534.9,0.02,2,Canada,Walmart,,,,,,
2023-07-03,Whey Protein,Protein,147,38.28,5627.16,0.2,0,Canada,Amazon,37,21,12,35,35,13
2023-07-03,Collagen Peptides,Protein,152,53.75,8170,0.2,2,Canada,Walmart,,,,,,
2023-07-10,Whey Protein,Protein,138,46.62,6433.56,0.17,2,Canada,iHerb,,,,,,
2023-07-10,Collagen Peptides,Protein,185,46.06,8521.1,0.19,1,Canada,iHerb,,,,,,
2023-07-17,Whey Protein,Protein,171,24.78,4237.38,0.24,1,USA,Amazon,,,,,,
2023-07-17,Collagen Peptides,Protein,149,31.09,4632.41,0,5,UK,Amazon,,,,,,
2023-07-24,Whey Protein,Protein,137,17,2329,0.1,0,Canada,Walmart,,,,,,
2023-07-24,Collagen Peptides,Protein,147,29.67,4361.49,0.18,3,Canada,Walmart,,,,,,
2023-07-31,Whey Protein,Protein,140,49.12,6876.8,0.18,0,USA,Walmart,,,,,,
2023-07-31,Collagen Peptides,Protein,148,10.82,1601.36,0.04,1,UK,Walmart,,,,,,
2023-08-07,Whey Protein,Protein,158,39.56,6250.48,0.24,0,USA,Walmart,38,20,12,33,33,12
2023-08-07,Collagen Peptides,Protein,136,37.07,5041.52,0.15,1,USA,Amazon,,,,,,
2023-08-14,Whey Protein,Protein,146,45.42,6631.32,0.21,1,Canada,Walmart,,,,,,
2023-08-14,Collagen Peptides,Protein,126,40.35,5084.1,0.03,1,UK,Amazon,,,,,,
2023-08-21,Whey Protein,Protein,147,57.13,8398.11,0.04,1,Canada,Walmart,,,,,,
2023-08-21,Collagen Peptides,Protein,151,12.85,1940.35,0.1,3,Canada,Amazon,,,,,,
2023-08-28,Whey Protein,Protein,154,29.71,4575.34,0.08,1,USA,Walmart,,,,,,
2023-08-28,Collagen Peptides,Protein,158,46.93,7414.94,0.12,1,UK,iHerb,,,,,,
2023-09-04,Whey Protein,Protein,157,32.65,5126.05,0.19,3,UK,Walmart,38,18,12,34,31,10
2023-09-04,Collagen Peptides,Protein,138,42.49,5863.62,0.23,2,Canada,iHerb,,,,,,
2023-09-11,Whey Protein,Protein,147,35.3,5189.1,0.02,0,USA,iHerb,,,,,,
2023-09-11,Collagen Peptides,Protein,148,25.95,3840.6,0.11,2,USA,Amazon,,,,,,
2023-09-18,Whey Protein,Protein,160,43.53,6964.8,0.11,3,Canada,Amazon,,,,,,
2023-09-18,Collagen Peptides,Protein,135,39.63,5350.05,0.09,0,USA,iHerb,,,,,,
2023-09-25,Whey Protein,Protein,178,14.38,2559.64,0.12,3,UK,Walmart,,,,,,
2023-09-25,Collagen Peptides,Protein,140,48.99,6858.6,0.06,1,USA,iHerb,,,,,,
2023-10-02,Whey Protein,Protein,143,57.08,8162.44,0.08,1,UK,Walmart,38,18,11,32,30,11
2023-10-02,Collagen Peptides,Protein,144,34.48,4965.12,0.24,4,Canada,Amazon,,,,,,
2023-10-09,Whey Protein,Protein,166,21.27,3530.82,0.17,1,Canada,iHerb,,,,,,
2023-10-09,Collagen Peptides,Protein,151,59.48,8981.48,0.03,0,Canada,Walmart,,,,,,
2023-10-16,Whey Protein,Protein,158,18.02,2847.16,0.22,1,Canada,Amazon,,,,,,
2023-10-16,Collagen Peptides,Protein,157,16.76,2631.32,0.08,1,UK,iHerb,,,,,,
2023-10-23,Whey Protein,Protein,150,28.86,4329,0.05,2,Canada,Walmart,,,,,,
2023-10-23,Collagen Peptides,Protein,153,19.58,2995.74,0.24,1,UK,Walmart,,,,,,
2023-10-30,Whey Protein,Protein,144,12.26,1765.44,0.1,1,UK,Amazon,,,,,,
2023-10-30,Collagen Peptides,Protein,136,12.53,1704.08,0.14,1,Canada,iHerb,,,,,,
2023-11-06,Whey Protein,Protein,153,46.82,7163.46,0.24,0,USA,Amazon,36,18,10,31,32,11
2023-11-06,Collagen Peptides,Protein,142,37.07,5263.94,0.23,0,Canada,Walmart,,,,,,
2023-11-13,Whey Protein,Protein,142,10.25,1455.5,0.1,2,Canada,Amazon,,,,,,
2023-11-13,Collagen Peptides,Protein,148,44.13,6531.24,0.01,1,UK,Walmart,,,,,,
2023-11-20,Whey Protein,Protein,155,30.6,4743,0.04,0,USA,iHerb,,,,,,
2023-11-20,Collagen Peptides,Protein,126,48,6048,0.11,2,Canada,Walmart,,,,,,
2023-11-27,Whey Protein,Protein,137,35.25,4829.25,0.03,0,Canada,Amazon,,,,,,
2023-11-27,Collagen Peptides,Protein,135,38.86,5246.1,0.07,2,Canada,iHerb,,,,,,
2023-12-04,Whey Protein,Protein,143,23.79,3401.97,0.01,3,Canada,iHerb,31,20,10,30,33,12
2023-12-04,Collagen Peptides,Protein,158,51.45,8129.1,0.07,3,USA,Walmart,,,,,,
2023-12-11,Whey Protein,Protein,142,35.15,4991.3,0.12,0,UK,Walmart,,,,,,
2023-12-11,Collagen Peptides,Protein,120,29.83,3579.6,0.11,3,USA,Amazon,,,,,,
2023-12-18,Whey Protein,Protein,146,10.28,1500.88,0.25,4,UK,iHerb,,,,,,
2023-12-18,Collagen Peptides,Protein,159,26.98,4289.82,0.09,4,USA,Amazon,,,,,,
2023-12-25,Whey Protein,Protein,152,48.88,7429.76,0.07,0,UK,Walmart,,,,,,
2023-12-25,Collagen Peptides,Protein,140,56.41,7897.4,0.13,0,USA,iHerb,,,,,,
2024-01-01,Whey Protein,Protein,140,58.59,8202.6,0.04,1,UK,Amazon,48,24,13,39,40,13
2024-01-01,Collagen Peptides,Protein,161,27.2,4379.2,0.22,0,USA,Walmart,,,,,,
2024-01-08,Whey Protein,Protein,149,52.31,7794.19,0.11,2,USA,iHerb,,,,,,
2024-01-08,Collagen Peptides,Protein,159,40.29,6406.11,0.07,3,UK,iHerb,,,,,,
2024-01-15,Whey Protein,Protein,148,53.47,7913.56,0.12,4,Canada,iHerb,,,,,,
2024-01-15,Collagen Peptides,Protein,155,22.76,3527.8,0.15,2,USA,Walmart,,,,,,
2024-01-22,Whey Protein,Protein,158,30.68,4847.44,0.09,2,USA,iHerb,,,,,,
2024-01-22,Collagen Peptides,Protein,152,31.33,4762.16,0.02,3,Canada,iHerb,,,,,,
2024-01-29,Whey Protein,Protein,149,23.06,3435.94,0.08,3,Canada,Walmart,,,,,,
2024-01-29,Collagen Peptides,Protein,141,16.95,2389.95,0.09,1,USA,iHerb,,,,,,
2024-02-05,Whey Protein,Protein,144,38.98,5613.12,0.18,0,USA,Walmart,47,20,12,37,36,13
2024-02-05,Collagen Peptides,Protein,157,18.19,2855.83,0.02,2,Canada,Amazon,,,,,,
2024-02-12,Whey Protein,Protein,144,34.1,4910.4,0.18,4,USA,iHerb,,,,,,
2024-02-12,Collagen Peptides,Protein,126,25.68,3235.68,0.05,1,Canada,Walmart,,,,,,
2024-02-19,Whey Protein,Protein,139,35.15,4885.85,0.12,2,UK,Amazon,,,,,,
2024-02-19,Collagen Peptides,Protein,142,25.52,3623.84,0.01,3,USA,iHerb,,,,,,
2024-02-26,Whey Protein,Protein,148,59.44,8797.12,0.02,0,USA,iHerb,,,,,,
2024-02-26,Collagen Peptides,Protein,139,22.04,3063.56,0.09,2,USA,Walmart,,,,,,
2024-03-04,Whey Protein,Protein,163,32.01,5217.63,0.15,0,Canada,iHerb,44,23,12,35,34,16
2024-03-04,Collagen Peptides,Protein,158,52.73,8331.34,0.02,3,UK,iHerb,,,,,,
2024-03-11,Whey Protein,Protein,160,37.56,6009.6,0.24,5,USA,Walmart,,,,,,
2024-03-11,Collagen Peptides,Protein,153,25.42,3889.26,0.21,2,Canada,iHerb,,,,,,
2024-03-18,Whey Protein,Protein,168,30.3,5090.4,0.2,2,USA,Walmart,,,,,,
2024-03-18,Collagen Peptides,Protein,146,36.18,5282.28,0.03,1,USA,Amazon,,,,,,
